WEEK,OPP,TD,INT,FR,SCK,SFTY,BLK,PA,FPTS,Lions D
12,@NE,0,2,0,3,0,0,20,12,
13,LAR,0,0,1,1,0,0,32,-2,
14,@NYG,0,0,3,8,0,0,7,27,
15,Phi,0,0,0,6,1,1,26,10,
16,SF,0,0,1,3,0,0,20,5,
17,@LAR,0,1,1,2,0,0,10,10,
1,NYJ,0,1,1,3,0,0,17,11,Bills
2,@Mia,0,0,0,3,0,0,28,0,
3,LAR,0,1,1,2,0,0,32,0,
4,@LV,0,0,2,2,0,0,23,8,
5,@Ten,0,0,0,0,0,0,42,-3,
6,KC,0,0,1,1,0,0,26,-1,
7,@NYJ,0,2,0,6,0,0,10,19,
8,NE,0,0,1,2,0,0,21,5,
9,Sea,0,2,2,5,0,0,34,11,
10,@Ari,0,1,1,3,0,0,32,2,
11,BYE,--,--,--,--,--,--,--,--,
12,LAC,0,1,0,3,0,0,17,6,
13,@SF,0,2,0,0,0,0,24,1,
14,Pit,1,2,0,1,0,0,15,15,
15,@Den,1,0,1,3,0,0,19,14,
16,@NE,0,0,0,3,0,0,9,8,
17,Mia,2,3,1,1,0,0,26,17,
1,@NE,0,0,0,2,0,0,21,2,Dolphins
2,Buf,0,0,1,1,0,0,31,-3,
3,@Jax,0,1,1,4,0,0,13,12,
4,Sea,0,1,0,2,0,0,31,1,
5,@SF,0,2,1,5,0,0,17,16,
6,NYJ,0,1,0,3,0,0,0,12,
7,BYE,--,--,--,--,--,--,--,--,
8,LAR,2,2,2,2,0,0,17,20,
9,@Ari,1,0,1,1,0,0,31,7,
10,LAC,0,1,0,2,0,1,21,8,
11,@Den,0,1,1,0,0,0,20,0,
12,@NYJ,0,2,0,3,0,0,3,13,
13,Cin,0,2,0,6,0,0,7,18,
14,KC,0,3,1,3,0,0,31,8,
15,NE,0,0,1,3,0,0,12,11,
16,@LV,0,0,1,3,0,0,25,3,
17,@Buf,0,2,0,1,0,0,50,-5,
1,@NO,0,0,0,1,0,0,28,2,Bucs
2,Car,0,2,2,5,0,0,17,13,
3,@Den,0,2,0,6,1,1,10,20,
4,LAC,0,1,1,2,0,0,25,7,
5,@Chi,0,1,0,3,0,0,20,8,
6,GB,1,2,0,5,0,0,10,21,
7,@LV,0,1,0,3,0,0,20,6,
8,@NYG,0,2,0,3,0,0,23,6,
9,NO,0,0,2,1,0,0,38,1,
10,@Car,0,1,0,3,0,0,23,10,
11,LAR,0,2,0,0,0,0,27,1,
12,KC,0,0,1,2,0,0,27,-1,
13,BYE,--,--,--,--,--,--,--,--,
14,Min,0,0,1,6,0,0,14,11,
15,@Atl,0,0,0,3,0,0,27,2,
16,@Det,0,1,1,4,0,0,7,17,
17,Atl,0,0,2,1,0,0,27,6,
1,TB,1,2,1,3,0,1,23,18,Saints
2,@LV,0,0,1,3,0,0,34,3,
3,GB,0,0,0,1,0,0,37,-3,
4,@Det,0,1,0,3,0,0,29,6,
5,LAC,0,0,0,3,0,0,27,2,
6,BYE,--,--,--,--,--,--,--,--,
7,Car,0,0,0,1,0,0,24,3,
8,@Chi,0,1,0,5,0,0,23,7,
9,@TB,0,3,0,3,0,0,3,18,
10,SF,0,2,2,2,0,0,13,15,
11,Atl,0,2,0,8,0,0,9,17,
12,@Den,0,2,1,1,0,0,3,16,
13,@Atl,0,0,1,3,0,0,16,7,
14,@Phi,0,0,1,0,0,0,24,0,
15,KC,0,0,1,4,1,0,32,6,
16,Min,0,0,0,2,0,0,33,2,
17,@Car,0,5,0,3,0,0,7,16,
1,Phi,0,2,1,8,0,0,17,19,Washington
